,location,name,span,verb
22574,84942,Hermione,"Definitely,” said Hermione.",said
22575,84946,Hermione,"Hermione, now flicking through the The Tales ofBeedle",flicking
22576,84951,Ron,” said Ron.,said
22577,84956,Hermione,"I’ve no idea,” said Hermione.",said
22578,84957,Scrimgeour,"When Scrimgeour made you take it, Harry,",made
22579,84959,Harry,"Yeah, well,” said Harry, his pulse quickening as he raised the Snitch in his",said
22580,84963,Harry,” said Harry.,said
22581,84966,Hermione,Hermione looked simply bemused.,looked
22582,84967,Ron,"Ron, however, gasped, pointing franti¬",gasped
22583,84970,Harry,"Exactly,” said Harry, and with his heart beating fast, he pressed his mouth",said
22584,84974,Hermione,then Hermione cried out.,cried
22585,84978,Hermione,Hermione was,was
22586,84982,Harry,that Harry recognized as Dumbledore’s,recognized
22587,84989,Hermione,"Hermione and Ron shook their heads, looking back.",shook
22588,84994,Ron,"Ron finally, when they had at last abandoned their",abandoned
22589,84998,Harry,Harry said quietly.,said
22590,85009,Dumbledore,Had Dumbledore expected him,expected
22591,85011,Hermione,"” said Hermione, “The Tales of Beedle the Bard",said
22592,85016,Hermione,” said Hermione in surprise.,said
22593,85019,Harry,"Harry looked up, diverted.",looked
22594,85021,Hermione,Hermione had not was unprecedented.,was
22595,85022,Ron,"Ron, however, looked bemused by their",looked
22596,85029,Hermione,"Hermione, giggling",giggling
22597,85031,Ron,"” said Ron, looking in disbelief from Harry to Hermione.",said
22598,85042,Ron,"Yeah,” said Ron uncertainly, “",said
22599,85046,Dumbledore,why Dumbledore thought I should read them,thought
22600,85049,Ron,said Ron nervously.,said
22601,85050,Hermione,"“All the same, we should get to bed,” whispered Hermione.",whispered
22602,85057,Hermione,as Hermione left the room,left
22603,85066,Harry,Harry had taken a,taken
22604,85068,Fred,from whom Fred had stolen,stolen
22605,85077,Harry,Harry could see a blue haze,see
22606,85084,George,George had fastened an enormous bunch of golden balloons over the exact point,fastened
22607,85085,Bill,where Bill and Fleur would shortly become husband and wife.,become
22608,85088,Harry,Harry was,was
22609,85097,Fred,"When I get married,” said Fred, tugging at the collar of his own robes, “I",said
22610,85101,George,"She wasn’t too bad this morning, considering,” said George.",said
22611,85103,Percy,Percy not being here,being
22612,85114,George,", I think I see a few veela cousins,” said George, craning his neck",said
22613,85118,Fred,",” said Fred, and darting past the gaggle of",said
22614,85123,Ron,"Ron took charge of Mr. Weasley’s old Ministry colleague Perkins, while a rather",took
22615,85125,Wotcher,"“Wotcher,” said a familiar voice as he came out of the marquee again and",said
22616,85129,Arthur,“Arthur told us you were the one with the curly hair.,told
22617,85131,Harry,as Harry led them up the aisle,led
22618,85140,Hagrid,to dwell on the matter: Hagrid was causing a certain amount of disruption.,causing
22619,85145,Harry,"anybody who would listen, Harry hurried back to the entrance to find Ron",hurried
22620,85153,Lovegood,"“Xenophilius Lovegood,” he said, extending a hand to Harry, “my daughter",extending
22621,85154,Weasleys,so kind of the good Weasleys to invite us,invite
22622,85157,Ron,"Yes,” said Ron.",said
22623,85164,Ron,"Ours do know a lot of excellent swear words,” said Ron, “",said
22624,85165,George,and George taught them those.”,taught
22625,85172,Luna,"Like her father, Luna was wearing bright yellow robes, which she had ac¬",wearing
22626,85197,Harry,"” said Harry, who had long since decided not to challenge Luna or",said
22627,85201,Luna,"Oh, it’s fine,” said Luna, sucking her finger in a dreamy fashion and looking",said
22628,85207,Ron,"As she drifted off after her father, Ron reappeared with an elderly witch",reappeared
22629,85213,Lovegood,", what is Xenophilius Lovegood wearing",wearing
22630,85220,Potter,Isn’t Harry Potter here?,is
22631,85239,Ron,Ron gave Harry a meaningful look as he passed and did not reappear for,gave
22632,85241,Harry,"When next they met at the entrance, Harry had shown a dozen",shown
22633,85248,Fred,Fred and George set off a Dungbomb under her chair at dinner,set
22634,85252,Hermione,as Hermione came,came
22635,85255,Hermione,"Hermione, though she smiled",smiled
22636,85259,Muriel,Aunt Muriel doesn’t agree,agree
22637,85263,Ron,"“Don’t take it personally, she’s rude to everyone,” said Ron.",said
22638,85269,Bilius,"Uncle Bilius was still with us, though",was
22639,85273,Fred,” said Fred.,said
22640,85281,Ron,"“Never married, for some reason,” said Ron.",said
22641,85282,Hermione,"‘You amaze me,” said Hermione.",said
